,Material,Space Group,ehull,Z_x,Electronegativity_x,IonizationPotential_x,ElectronAffinity_x,HOMO_x,LUMO_x,r_s_orbital_x,r_p_orbital_x,r_d_orbital_x,r_atomic_nonbonded_x,r_valence_lastorbital_x,r_covalent_x,Valence_x,PeriodicColumn_x,PeriodicColumn_upto18_x,NumberUnfilledOrbitals_x,Polarizability_x,Z_y,Electronegativity_y,IonizationPotential_y,ElectronAffinity_y,HOMO_y,LUMO_y,r_s_orbital_y,r_p_orbital_y,r_d_orbital_y,r_atomic_nonbonded_y,r_valence_lastorbital_y,r_covalent_y,Valence_y,PeriodicColumn_y,PeriodicColumn_upto18_y,NumberUnfilledOrbitals_y,Polarizability_y
552,HgO2,Pmm2,0.7839502752090053,80,2.0,-10.719000000000001,1.6880000000000002,-6.808,0.8594,1.1675,1.8734,0.6158,1.49,1.1675,1.32,26.0,2.0,12.0,0.0,34.27,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
553,HgO2,P-3m1,0.6297134679103048,80,2.0,-10.719000000000001,1.6880000000000002,-6.808,0.8594,1.1675,1.8734,0.6158,1.49,1.1675,1.32,26.0,2.0,12.0,0.0,34.27,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
554,HgO2,P-1,0.5264086329642633,80,2.0,-10.719000000000001,1.6880000000000002,-6.808,0.8594,1.1675,1.8734,0.6158,1.49,1.1675,1.32,26.0,2.0,12.0,0.0,34.27,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
555,IrO2,P-3m1,0.24191425201602823,77,2.2,-8.8201,-2.541,-5.6901,0.5069,0.9966,1.4695,0.6939,1.37,0.6939,1.41,23.0,9.0,9.0,3.0,51.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
556,IrO2,P-4m2,0.729245521979737,77,2.2,-8.8201,-2.541,-5.6901,0.5069,0.9966,1.4695,0.6939,1.37,0.6939,1.41,23.0,9.0,9.0,3.0,51.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
557,MoO2,P-6m2,0.02806201169811695,42,2.16,-6.8668,-1.5561,-4.3183,-0.1345,1.5418,1.6626,0.7271,1.45,0.7271,1.54,6.0,6.0,6.0,6.0,86.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
558,MoO2,P-3m1,0.3381709399943664,42,2.16,-6.8668,-1.5561,-4.3183,-0.1345,1.5418,1.6626,0.7271,1.45,0.7271,1.54,6.0,6.0,6.0,6.0,86.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
559,MoO2,P-4m2,0.536908005446237,42,2.16,-6.8668,-1.5561,-4.3183,-0.1345,1.5418,1.6626,0.7271,1.45,0.7271,1.54,6.0,6.0,6.0,6.0,86.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
560,NiO2,P-3m1,0.0,28,1.91,-7.5452,-1.2886,-4.3916,0.5082,1.2589,1.57,0.3377,1.21,0.3377,1.24,10.0,10.0,10.0,2.0,48.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
561,OsO2,P-4m2,0.6079183979362586,76,2.2,-9.1155,-1.8446,-6.0059,-0.0685,1.3156,1.5096,0.7190000000000001,1.28,0.7190000000000001,1.44,22.0,8.0,8.0,4.0,57.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
562,PbO2,P-4m2,0.33916776647247937,82,2.33,-6.54,-0.7047,-3.4960000000000004,2.5655,1.0396,1.4049,0.5676,1.47,1.4049,1.46,28.0,4.0,14.0,4.0,47.71,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
563,PbO2,P-3m1,0.09435902876056568,82,2.33,-6.54,-0.7047,-3.4960000000000004,2.5655,1.0396,1.4049,0.5676,1.47,1.4049,1.46,28.0,4.0,14.0,4.0,47.71,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
564,PbO2,P-6m2,0.4638539642977211,82,2.33,-6.54,-0.7047,-3.4960000000000004,2.5655,1.0396,1.4049,0.5676,1.47,1.4049,1.46,28.0,4.0,14.0,4.0,47.71,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
565,PdO2,P-6m2,0.8434192774058502,46,2.2,-8.97,-0.5361,-4.1184,-3.4298,1.4218,1.4577,0.5805,1.31,0.5805,1.39,10.0,10.0,10.0,0.0,32.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
566,PdO2,P-4m2,0.7482271112100722,46,2.2,-8.97,-0.5361,-4.1184,-3.4298,1.4218,1.4577,0.5805,1.31,0.5805,1.39,10.0,10.0,10.0,0.0,32.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
